Applied filters:,Date (Arrival Date) BETWEEN 05/01/2024 AND 04/30/2025
,
Stop Name,Sum of Passenger Alightings
10th at Staunton (no number),906.00
10th NB at Courtland (no number),229.00
10th NB at Greenhurst (no number),584.00
10th SB at Courtland (no number),158.00
10th SB at Greenhurst (no number),108.00
10th SB at Hanover (no number),49.00
10th SB at Hunt (no number),61.00
11th SB at Highland (no number),450.00
11th SB at Jamison (no number),194.00
11th SB at Montrose (no number),38.00
11th SB at Moorman (no number),364.00
13th NB at Campbell (no number),205.00
13th NB at Cleveland (no number),99.00
13th NB at Montrose (no number),"1,182.00"
13th NB at Patterson (no number),"1,595.00"
13th NB at Tayloe (no number),54.00
13th SB at Campbell (no number),639.00
13th SB at Cleveland (no number),545.00
14th NB at Kenwood (no number),90.00
18th NB at Salem (no number),148.00
18th SB at Patterson (no number),"1,552.00"
19th at Andrews (no number),"1,269.00"
3rd St at Church Ave  (no number),"1,912.00"
3rd St Station Slip A (no number),"21,302.00"
3rd St Station Slip B (no number),"36,147.00"
3rd St Station Slip C (no number),"60,689.00"
3rd St Station Slip D (no number),"6,364.00"
3rd St Station Slip F (no number),"25,880.00"
3rd St Station Slip G (no number),"23,059.00"
3rd St Station Slip H (no number),"35,958.00"
3rd St Station Slip I (no number),"36,052.00"
3rd St Station Slip J (no number),"30,521.00"
3rd St Station Slip K (no number),"17,550.00"
3rd St Station Slip L (no number),"40,168.00"
3rd St Station Slip M (no number),"25,716.00"
3rd St Station Slip N (no number),"28,869.00"
3rd St Station Slip O (no number),"21,787.00"
3rd St Station Slip P (no number),"19,504.00"
3rd St Station Slip Q (no number),"33,225.00"
3rd St Station Star Line  (1716),"15,436.00"
4th Street WB at College (no number),129.00
5th and Elm Ave (no number),"1,603.00"
5th at Harrison (no number),581.00
5th St at Elm Ave (no number),42.00
5th St at Gilmer Ave (no number),445.00
5th St at Harrison (no number),"1,470.00"
5th St at Moorman Ave (no number),480.00
6th St and Colorado (no number),154.00
7th Street WB at College (no number),267.00
8th NB at Dale (no number),611.00
8th NB at Hill (no number),407.00
8th SB at Hill (no number),77.00
9th NB at Buena Vista (7-11) (no number),82.00
9th NB at Buena Vista/Penmar (no number),33.00
9th NB at Centre (no number),670.00
9th NB at Highland (CVS) (no number),508.00
9th NB at Montrose (no number),62.00
9th NB at Morehead (no number),87.00
9th NB at Pechin (no number),65.00
9th NB at River (Industrial Park) (no number),59.00
