Applied filters:,Date (Arrival Date) BETWEEN 05/01/2024 AND 04/30/2025
,
Stop Name,Sum of Passenger Boardings
10th at Staunton (no number),443.00
10th NB at Courtland (no number),62.00
10th NB at Greenhurst (no number),102.00
10th SB at Courtland (no number),374.00
10th SB at Greenhurst (no number),619.00
10th SB at Hanover (no number),64.00
10th SB at Hunt (no number),44.00
11th SB at Highland (no number),593.00
11th SB at Jamison (no number),207.00
11th SB at Montrose (no number),207.00
11th SB at Moorman (no number),625.00
13th NB at Campbell (no number),369.00
13th NB at Cleveland (no number),561.00
13th NB at Montrose (no number),999.00
13th NB at Patterson (no number),"2,195.00"
13th NB at Tayloe (no number),16.00
13th SB at Campbell (no number),634.00
13th SB at Cleveland (no number),94.00
14th NB at Kenwood (no number),63.00
18th NB at Salem (no number),"1,359.00"
18th SB at Patterson (no number),127.00
19th at Andrews (no number),389.00
3rd St at Church Ave  (no number),681.00
3rd St Station Slip A (no number),"22,907.00"
3rd St Station Slip B (no number),"33,672.00"
3rd St Station Slip C (no number),"61,423.00"
3rd St Station Slip D (no number),"5,419.00"
3rd St Station Slip F (no number),"26,794.00"
3rd St Station Slip G (no number),"26,113.00"
3rd St Station Slip H (no number),"20,913.00"
3rd St Station Slip I (no number),"32,646.00"
3rd St Station Slip J (no number),"33,748.00"
3rd St Station Slip K (no number),"20,626.00"
3rd St Station Slip L (no number),"44,301.00"
3rd St Station Slip M (no number),"27,827.00"
3rd St Station Slip N (no number),"23,716.00"
3rd St Station Slip O (no number),"41,288.00"
3rd St Station Slip P (no number),"34,707.00"
3rd St Station Slip Q (no number),"39,040.00"
3rd St Station Star Line  (1716),"9,467.00"
4th Street WB at College (no number),812.00
5th and Elm Ave (no number),780.00
5th at Harrison (no number),"1,236.00"
5th St at Elm Ave (no number),111.00
5th St at Gilmer Ave (no number),875.00
5th St at Harrison (no number),744.00
5th St at Moorman Ave (no number),250.00
6th St and Colorado (no number),79.00
7th Street WB at College (no number),182.00
8th NB at Dale (no number),234.00
8th NB at Hill (no number),197.00
8th SB at Hill (no number),660.00
9th NB at Buena Vista (7-11) (no number),"1,475.00"
9th NB at Buena Vista/Penmar (no number),"1,303.00"
9th NB at Centre (no number),338.00
9th NB at Highland (CVS) (no number),"3,294.00"
9th NB at Montrose (no number),809.00
9th NB at Morehead (no number),"1,641.00"
9th NB at Pechin (no number),548.00
9th NB at River (Industrial Park) (no number),232.00
9th NB at Stewart (no number),"1,034.00"
9th SB at Buena Vista (7-11) (no number),190.00
9th SB at Buena Vista/Penmar (no number),46.00
9th SB at Centre (no number),"1,379.00"
9th SB at Dale (no number),153.00
9th SB at Industry (no number),28.00
9th SB at Montrose (no number),101.00
9th SB at Morehead (no number),157.00
9th SB at Pechin (no number),99.00
Airport (no number),"6,949.00"
Airport NB at Nelms (opposite Skyline College) (no number),8.00
Airport NB at Williamson (no number),768.00
Airport SB at Nelms (no number),78.00
Airport SB at Williamson (no number),"1,119.00"
Andrews  at Cove (no number),158.00
Andrews at 19th (no number),"1,449.00"
Andrews at Florida (no number),343.00
Andrews at Leon (no number),73.00
Antique Mall at Orange and Gus Nicks (no number),952.00
Apperson EB at Dillard (Food Lion) (no number),68.00
Apperson EB at Dillard (Old Salem Mercantile) (no number),21.00
Apperson EB at Orchard (no number),128.00
Apperson EB at Riverview (no number),"1,146.00"
Apperson EB at Yorkshire (no number),493.00
Belleview NB at Linden (no number),64.00
Belleview NB at Walnut (no number),999.00
Belleview SB at Hamilton Terrace (RMH) (no number),620.00
Belleview SB at Linden (no number),3.00
Belleview SB at Walnut (no number),365.00
Bennington NB at Brownlee (no number),28.00
Bennington NB at Dundee (no number),225.00
Bennington NB at Queen Ann (no number),576.00
Bennington NB at Riverdale (no number),238.00
Bennington SB at Brownlee (no number),9.00
Bennington SB at Redwood (no number),463.00
Bennington SB at Riverdale (no number),360.00
Bennington SB at Riverland (no number),869.00
Bennington Street Food Lion (no number),"1,580.00"
Bennington Street Food Lion Driveway at Rutrough (no number),17.00
Blackburg Municipal Building  (no number),"1,418.00"
Blue Hills Dr At Adcance Auto Parts (no number),439.00
Blue Hills Drive at Amazon (no number),408.00
Blue Hills Drive at Creative Kids (no number),804.00
Blue Hills Drive at FedEx (no number),"1,316.00"
Blue Hills NB at Blue Hills Circle (no number),"2,870.00"
Blue Hills NB at RCIT/Blue Hills Village (no number),879.00
